evaluations,fitness,sigma
200,0.09203470604243927,0.7238699344287677
400,0.09203470604243927,0.6549846024623854
600,0.13385806554908075,0.5926545765453742
800,0.13385806554908075,0.5362560368285113
1000,0.13385806554908075,0.4852245277701066
1200,0.13385806554908075,0.439049308875221
1400,0.13385806554908075,0.3972682430331274
1600,0.13385806554908075,0.3594631712937771
1800,0.13385806554908075,0.3252557277924791
2000,0.13385806554908075,0.29430355293715366
2200,0.13385806554908075,0.26629686695846344
2400,0.13385806554908075,0.2409553695297615
2600,0.13385806554908075,0.2180254344272099
2800,0.13385806554908075,0.197277571153285
3000,0.1502441995264273,0.1785041281187437
3200,0.1502441995264273,0.16151721439572417
3400,0.1502441995264273,0.14614681924218756
3600,0.1502441995264273,0.1322391105772691
3800,0.16013264145598394,0.1196548953781079
4000,0.16013264145598394,0.10826822658929001
4200,0.16013264145598394,0.0979651426023854
4400,0.16759052077358705,0.08864252668986698
4600,0.16759052077358705,0.08020707497824286
4800,0.16759052077358705,0.07257436263152989
5000,0.18296771211508575,0.06566799889911892
5200,0.18296771211508575,0.059418862571466995
5400,0.18296771211508575,0.05376441019179971
5600,0.18296771211508575,0.04864805010017427
5800,0.18296771211508575,0.044018576045125685
6000,0.18296771211508575,0.03982965469429106
6200,0.18296771211508575,0.036039361914846156
6400,0.18296771211508575,0.03260976318269289
6600,0.18296771211508575,0.029506533920991927
6800,0.18485239210204948,0.02669861596826079
7000,0.18487130854204803,0.024157906737854732
7200,0.18707349944519663,0.021858977957833984
7400,0.18707349944519663,0.019778821176271454
7600,0.19027344282257477,0.01789661748493242
7800,0.19027344282257477,0.01619352915664346
8000,0.19027344282257477,0.014652511110987297
8200,0.19027344282257477,0.013258140321408955
8400,0.19254935318942848,0.011996461456382125
8600,0.19254935318942848,0.010854847209760708
8800,0.19254935318942848,0.01
9000,0.19311651715102449,0.01
9200,0.19311651715102449,0.01
9400,0.19311651715102449,0.01
9600,0.19311651715102449,0.01
9800,0.19311651715102449,0.01
10000,0.19311651715102449,0.01
